NodeIndex,GeneSymbol,AAA,PAD,AMI,Stroke,HeartFailure
270,MSH2,0,0,0,0,0
271,PRH1,0,0,0,0,0
272,SRSF4,0,0,0,0,0
273,GABBR1,0,0,0,0,0
274,STON1-GTF2A1L,0,0,0,0,0
275,ZMYND11,0,0,0,0,0
276,ASL,0,0,0,0,0
277,TBC1D10B,0,0,0,0,0
278,ATP5PB,0,0,0,0,0
279,NR5A1,0,0,0,0,0
280,PSMD13,0,0,0,0,0
281,FTH1,1,0,0,0,0
282,ORC2,0,0,0,0,0
283,CETN2,0,0,0,0,0
284,CCDC40,0,0,0,0,0
285,MTIF3,0,0,0,0,0
286,FBXW10,0,0,0,0,0
287,EXOC3L2,0,0,0,0,0
288,NOS2,0,0,0,0,0
289,INHBB,0,0,0,0,0
290,RNF2,0,0,0,0,0
291,SIRT4,0,0,0,0,0
292,RBBP6,0,0,0,0,0
293,DKC1,0,0,0,0,0
294,MYMK,0,0,0,0,0
295,SPAG5,0,0,0,0,0
296,NIPSNAP1,0,0,0,0,0
297,DDX10,0,0,0,0,0
298,G6PD,0,0,0,0,0
299,CDC26,0,0,0,0,0
300,PEX3,0,0,0,0,0
301,TLE2,0,0,0,0,0
302,TOMM6,0,0,0,0,0
303,H4C2,0,0,0,0,0
304,ERBB2,0,0,0,0,0
305,SLC25A41,0,0,0,0,0
306,RGS1,0,0,0,0,0
307,PRG3,0,0,0,0,0
308,FAXDC2,0,0,0,0,0
309,FGA,1,0,0,0,0
310,ZCCHC17,0,0,0,0,0
311,SLC22A14,0,0,0,0,0
312,PLD1,0,0,0,0,0
313,GRM1,0,0,0,0,0
314,CES1,0,0,0,0,0
315,BCL2,0,0,0,0,0
316,NR1H4,0,0,0,0,0
317,SEC62,0,0,0,0,0
318,LPL,0,1,1,0,0
319,YWHAH,0,0,0,0,0
320,GMIP,0,0,0,0,0
321,ENPEP,0,0,0,0,0
322,ALK,0,0,0,0,0
323,HLA-E,0,0,0,0,0
324,ZCCHC4,0,0,0,0,0
325,CD38,0,0,0,0,0
326,CCT4,0,0,0,0,0
327,AIPL1,0,0,0,0,0
328,ICE2,0,0,0,0,0
329,CYTH3,0,0,0,0,0
330,H3-4,0,0,0,0,0
331,PYROXD1,0,0,0,0,0
332,CLCA2,0,0,0,0,0
333,IFNA1,0,0,0,0,0
334,TACO1,0,0,0,0,0
335,PCBD2,0,0,0,0,0
336,CELA3A,0,0,0,0,0
337,ADM,1,0,0,0,0
338,CUL9,0,0,0,0,0
339,PABPN1,0,0,0,0,0
340,TSC2,0,0,0,0,0
341,TCF7L1,0,0,0,0,0
342,CHORDC1,0,0,0,1,0
343,HSPA4L,0,0,0,0,0
344,NCAPG2,0,0,0,0,0
345,PRMT8,0,0,0,0,0
346,ARPC3,0,0,0,0,0
347,INO80B,0,0,0,0,0
348,PFKFB3,0,0,0,0,0
349,HGD,0,0,1,0,0
350,MAGI1,0,0,0,0,0
351,SSU72P2,0,0,0,0,0
352,EDN3,0,0,0,0,0
353,OTOG,0,0,0,0,0
354,ZYG11B,0,0,0,0,0
355,GSTM1,0,0,0,0,0
356,RAB23,0,0,0,0,0
357,TRIT1,0,0,0,0,0
358,NCR3,0,0,0,0,0
359,HARS2,0,0,0,0,0
360,NUP37,0,0,0,0,0
361,SGF29,0,0,0,0,0
362,ATRX,0,0,0,0,0
363,SAP30L,0,0,0,0,0
364,ITGA8,1,0,0,0,0
365,SNX1,0,0,0,0,0
366,TPM3,1,0,0,0,0
367,ZNF683,0,0,0,0,0
368,ZKSCAN3,0,0,0,0,0
369,RMDN3,0,0,0,0,0
370,EDF1,0,0,0,0,0
371,CRY2,0,0,0,0,0
372,DAG1,0,0,0,0,0
373,ABCB1,0,0,0,0,0
374,GPD1L,0,0,0,0,0
375,SYP,0,0,0,0,0
376,GPR143,0,0,0,0,0
377,TAF1D,0,0,0,0,0
378,AXIN2,0,0,0,0,0
379,MED11,0,0,0,0,0
380,ERBB4,0,0,0,0,0
381,HORMAD1,0,0,0,0,0
382,RNF146,0,0,0,0,0
383,CDC16,0,0,0,0,0
384,GGPS1,0,0,0,0,0
385,SYNJ1,0,0,0,0,0
386,COX5A,0,0,0,0,0
387,CYP26A1,0,0,0,0,0
388,PSMC5,0,0,0,0,0
389,HACD3,0,0,0,0,0
390,DMXL1,0,0,0,0,0
391,VNN1,0,0,0,0,0
392,NEFH,0,0,0,0,0
393,BCL2L2,0,0,0,0,0
394,TAF4B,0,0,0,0,0
395,TPSB2,0,0,0,0,0
396,FRYL,0,0,0,0,0
397,SSBP1,0,0,0,0,0
398,BCL7B,0,0,0,0,0
399,RRAGD,0,0,0,0,0
400,GNAI2,0,0,0,0,0
401,CCKAR,0,0,0,0,0
402,GDI2,0,0,0,1,0
403,AANAT,0,0,0,0,0
404,FAP,0,0,0,0,0
405,HDAC6,0,0,0,0,0
