Index1,Index2,Protein1,Protein2,score,InteractionType
443,509,RALA,RALGAPA2,854,Protein_Protein
443,803,RALA,EXOC6B,819,Protein_Protein
443,3901,RALA,STAT4,755,Protein_Protein
443,1661,RALA,EXOC3,871,Protein_Protein
443,3006,RALA,MAPK8,926,Protein_Protein
443,4935,RALA,PPP2R1B,869,Protein_Protein
443,5651,RALA,CALM3,827,Protein_Protein
443,3706,RALA,RAC2,932,Protein_Protein
443,182,RALA,RALB,938,Protein_Protein
443,8356,RALA,KRAS,759,Protein_Protein
443,3405,RALA,REPS2,774,Protein_Protein
443,1554,RALA,RAC3,913,Protein_Protein
443,725,RALA,CALML5,816,Protein_Protein
443,3549,RALA,RGL2,981,Protein_Protein
443,973,RALA,CALML3,817,Protein_Protein
443,2200,RALA,CALML6,786,Protein_Protein
443,4336,RALA,HRAS,831,Protein_Protein
443,8287,RALA,EXOC1,929,Protein_Protein
443,3091,RALA,EXOC4,988,Protein_Protein
443,1687,RALA,SLC2A4,788,Protein_Protein
443,7692,RALA,LRPAP1,881,Protein_Protein
443,8804,RALA,CALML4,786,Protein_Protein
443,4938,RALA,PLCD1,827,Protein_Protein
443,6428,RALA,CALM1,849,Protein_Protein
443,5999,RALA,RAF1,849,Protein_Protein
443,8700,RALA,YBX3,774,Protein_Protein
443,565,RALA,FLNC,789,Protein_Protein
443,501,RALA,SRC,874,Protein_Protein
443,3601,RALA,EXOC6,850,Protein_Protein
443,5559,RALA,EXOC7,891,Protein_Protein
443,7858,RALA,RALGDS,999,Protein_Protein
443,2678,RALA,EXOC2,999,Protein_Protein
443,1130,RALA,PLD2,974,Protein_Protein
443,4022,RALA,RGL1,989,Protein_Protein
443,5571,RALA,FLNA,930,Protein_Protein
5608,1234,BAIAP2L1,WASL,936,Protein_Protein
5608,8588,BAIAP2L1,WAS,769,Protein_Protein
5608,2192,BAIAP2L1,ALG5,814,Protein_Protein
5608,3581,BAIAP2L1,EPS8,780,Protein_Protein
5608,2473,BAIAP2L1,WASF2,761,Protein_Protein
5608,6161,BAIAP2L1,ALG3,841,Protein_Protein
5608,4354,BAIAP2L1,CDC42,871,Protein_Protein
5608,5796,BAIAP2L1,BAIAP2,828,Protein_Protein
5608,7008,BAIAP2L1,ALG12,840,Protein_Protein
7383,5281,CACNG3,CACNB2,779,Protein_Protein
